type	lineA	lineB	witA	witB	A_form	A_lemma	A_pos	B_form	B_lemma	B_pos
lexicale	249	251	Cliges_A	Cliges_P	d'	de	PRE	furent	estre1	VERcjg
lexicale	249	251	Cliges_A	Cliges_P	antrer	entrer	VERinf	ens	enz	ADVgen
ajout	250	252	Cliges_A	Cliges_P				Fu	estre1	VERcjg
lexicale	250	252	Cliges_A	Cliges_P	Tantost	tantost	ADVgen	en	en1	PRE
lexicale	250	252	Cliges_A	Cliges_P	fu	estre1	VERcjg	haut	haut	ADJqua
lexicale	250	252	Cliges_A	Cliges_P	la	le	DETdef	li	il	DETdef
pos_diff	250	252	Cliges_A	Cliges_P	voile	voile1	NOMcom	voile	voile1	VERcjg
lexicale	252	254	Cliges_A	Cliges_P	terre	terre	NOMcom	Gresse	grece	NOMpro
lexicale	254	256	Cliges_A	Cliges_P	les	il	PROper	le	le	DETdef
pos_diff	254	256	Cliges_A	Cliges_P	convoient	convoiier	VERcjg	convoient	convoiier	NOMcom
lexicale	255	257	Cliges_A	Cliges_P	la	le	DETdef	aigue	aigue	NOMcom
lexicale	255	257	Cliges_A	Cliges_P	veue	veüe	NOMcom	douce	douz	ADJqua
lexicale	255	257	Cliges_A	Cliges_P	de	de	PRE	levent	lever	VERcjg
lacune	256	258	Cliges_A	Cliges_P	Et	et	CONcoo			
lexicale	256	258	Cliges_A	Cliges_P	ce	ce1	PROdem	cou	col	PROrel
ajout	256	258	Cliges_A	Cliges_P				il	il	PROper
lexicale	257	259	Cliges_A	Cliges_P	longuemant	longement2	ADVgen	longement	longement	ADVgen
ajout	258	260	Cliges_A	Cliges_P				Si	si	ADVgen
lacune	258	260	Cliges_A	Cliges_P	tuit	tot	PROind			
lexicale	259	261	Cliges_A	Cliges_P	Lez	lez	PRE	Les	le	DETdef
lexicale	259	261	Cliges_A	Cliges_P	an	en1	PRE	en	en2	PRE
lacune	261	263	Cliges_A	Cliges_P	55b	arbre	NOMcom			
lexicale	261	263	Cliges_A	Cliges_P	pueent	pöoir	VERcjg	le	il	PROper
lexicale	261	263	Cliges_A	Cliges_P	plus	plus	ADVgen	pueent	pöoir	VERcjg
lexicale	262	264	Cliges_A	Cliges_P	ami	ami	NOMcom	anui	enui	NOMcom
lacune	262	264	Cliges_A	Cliges_P	l'	il	PROper			
pos_diff	262	264	Cliges_A	Cliges_P	voir	voir	NOMcom	voir	voir	ADVgen
lexicale	263	265	Cliges_A	Cliges_P	Que	que4	CONsub	Car	car	CONcoo
pos_diff	263	265	Cliges_A	Cliges_P	lor	il	DETpos	lor	il	PROper
lexicale	263	265	Cliges_A	Cliges_P	enuie	enui	VERcjg	anuie	enoiier	VERcjg
lexicale	264	266	Cliges_A	Cliges_P	Et	et	CONcoo	Cui	cui	PROrel
lexicale	264	266	Cliges_A	Cliges_P	Dex	dieu	NOMpro	Damlediex	damnedeu	NOMpro
lacune	264	266	Cliges_A	Cliges_P	a	a3	PRE			
lexicale	264	266	Cliges_A	Cliges_P	droit	droit	NOMcom	a	avoir	VERcjg
lacune	264	266	Cliges_A	Cliges_P	le	il	PROper			
pos_diff	264	266	Cliges_A	Cliges_P	conduie	conduire	VERcjg	conduie	conduire	VERppe
lexicale	268	270	Cliges_A	Cliges_P	esmai	esmai	NOMcom	esmai	esmaiier	NOMcom
lexicale	269	271	Cliges_A	Cliges_P	Hantone	hampton	NOMpro	Hanstone	antonin	NOMpro
pos_diff	271	273	Cliges_A	Cliges_P	Gietent	jeter	NOMpro	Jetent	jeter	VERcjg
lexicale	271	273	Cliges_A	Cliges_P	encre	encre	ADVgen	lor	lor2	DETpos
lexicale	271	273	Cliges_A	Cliges_P	si	si	ADVgen	ancre	ancre	NOMcom
lexicale	271	273	Cliges_A	Cliges_P	ont	avoir	VERcjg	port	port2	VERppe
lexicale	271	273	Cliges_A	Cliges_P	port	port2	NOMcom	ont	avoir	VERcjg
lexicale	275	277	Cliges_A	Cliges_P	Orent	öir	NOMpro	Orent	avoir	VERcjg
lacune	276	278	Cliges_A	Cliges_P	tuit	tot	PROind			
lexicale	276	278	Cliges_A	Cliges_P	sont	estre1	VERcjg	trestout	trestot	ADVgen
lexicale	281	283	Cliges_A	Cliges_P	la	là	ADVgen	la	le	ADVgen
lexicale	282	284	Cliges_A	Cliges_P	ce	ce1	PROdem	cou	col	PROdem
lexicale	282	284	Cliges_A	Cliges_P	que	que4	CONsub	que	que2	CONsub
ajout	283	285	Cliges_A	Cliges_P				Le	le	DETdef
ajout	283	285	Cliges_A	Cliges_P				soir	soir	NOMcom
lexicale	283	285	Cliges_A	Cliges_P	Desoz	desoz	PRE	a	a3	PRE
lacune	283	285	Cliges_A	Cliges_P	se	soi1	PROper			
lexicale	284	286	Cliges_A	Cliges_P	et	et	CONcoo	molt	mout	ADVgen
lexicale	287	289	Cliges_A	Cliges_P	L'	le	DETdef	268b	car	NOMcom
lexicale	289	291	Cliges_A	Cliges_P	lever	lever	VERinf	movoir	movoir	VERinf
ajout	290	292	Cliges_A	Cliges_P				Mais	mais1	CONcoo
lexicale	290	292	Cliges_A	Cliges_P	S'	se	CONsub	qu	que4	CONsub
pos_diff	290	292	Cliges_A	Cliges_P	droit	droit	ADJqua	droit	droit	NOMcom
vers_ajoute		293	Cliges_A	Cliges_P						
vers_ajoute		294	Cliges_A	Cliges_P						
lexicale	295	299	Cliges_A	Cliges_P	Si	si	ADVgen	Et	et	CONcoo
pos_diff	295	299	Cliges_A	Cliges_P	droit	droit	ADJqua	droit	droit	NOMcom
lexicale	296	300	Cliges_A	Cliges_P	qu'	que4	CONsub	k	que2	CONsub
lexicale	297	301	Cliges_A	Cliges_P	Ou	en1+le	PROrel	U	que4	PROrel
pos_diff	298	302	Cliges_A	Cliges_P	Eincois	ainçois	NOMpro	Ancois	ainçois	ADVgen
lexicale	298	302	Cliges_A	Cliges_P	prime	prim	NOMcom	tierce	tierce	NOMcom
pos_diff	299	303	Cliges_A	Cliges_P	Furent	estre1	NOMpro	Furent	estre1	VERcjg
lexicale	300	304	Cliges_A	Cliges_P	Au	a3+le	PRE.DETdef	A	a3	PRE
pos_diff	300	304	Cliges_A	Cliges_P	descendent	descendre	VERcjg	descendnet	descendre	VERppe
ajout	300	304	Cliges_A	Cliges_P				de	de	PRE
lexicale	300	304	Cliges_A	Cliges_P	del	de+le	PRE.DETdef	lor	lor2	DETpos
lexicale	300	304	Cliges_A	Cliges_P	degre	degré	NOMcom	gre	gré2	NOMcom
lacune	305	309	Cliges_A	Cliges_P	55c	100	NOMcom			
pos_diff	305	309	Cliges_A	Cliges_P	james	ja+mais1	NOMcom	jamais	ja+mais1	ADVgen
lexicale	306	310	Cliges_A	Cliges_P	Artus	artu	NOMpro	venir	venir	VERinf
lexicale	308	312	Cliges_A	Cliges_P	Mes	mès	NOMpro	Mais	mais1	CONcoo
pos_diff	309	313	Cliges_A	Cliges_P	Ostent	oster2	NOMpro	Ostent	oster2	VERcjg
lexicale	309	313	Cliges_A	Cliges_P	les	le	DETdef	lor	lor2	DETpos
pos_diff	310	314	Cliges_A	Cliges_P	Que	que4	CONsub	C	que4	PROrel
lacune	310	314	Cliges_A	Cliges_P	l'	le	DETdef			
ajout	310	314	Cliges_A	Cliges_P				en	en2	PROadv
pos_diff	311	315	Cliges_A	Cliges_P	trestuit	trestot	PROind	trestot	trestot	DETind
pos_diff	311	315	Cliges_A	Cliges_P	desafuble	desafubler	ADJqua	desafule	desafubler	VERppe
ajout	312	316	Cliges_A	Cliges_P				S	soi1	PROper
pos_diff	312	316	Cliges_A	Cliges_P	An	en2	NOMcom	en	en2	PROadv
lexicale	313	317	Cliges_A	Cliges_P	Tuit	tot	DETind	Et	et	CONcoo
ajout	313	317	Cliges_A	Cliges_P				trestot	trestot	ADVgen
lexicale	313	317	Cliges_A	Cliges_P	les	il	PROper	se	soi1	PROper
lexicale	313	317	Cliges_A	Cliges_P	esgardoient	esgarder	VERcjg	taisent	taire	VERcjg
lacune	314	318	Cliges_A	Cliges_P	Por	por2	PRE			
lexicale	314	318	Cliges_A	Cliges_P	ce	ce1	PROdem	Car	car	CONcoo
lexicale	314	318	Cliges_A	Cliges_P	que	que4	CONsub	li	le	DETdef
lexicale	314	318	Cliges_A	Cliges_P	biax	bel1	NOMcom	vallet	vaslet	NOMcom
lacune	314	318	Cliges_A	Cliges_P	et	et	CONcoo			
lexicale	314	318	Cliges_A	Cliges_P	genz	gent1	NOMcom	forment	forment2	ADVgen
lexicale	314	318	Cliges_A	Cliges_P	voient	vëoir	VERcjg	plaisent	plaire	VERcjg
ajout	315	319	Cliges_A	Cliges_P				Por	por2	PRE
lexicale	315	319	Cliges_A	Cliges_P	Car	car	CONcoo	cou	col	PROdem
lexicale	315	319	Cliges_A	Cliges_P	li	le	DETdef	que	que4	PROrel
lexicale	315	319	Cliges_A	Cliges_P	vaslet	vaslet	NOMcom	biaus	bel1	NOMcom
ajout	315	319	Cliges_A	Cliges_P				et	et	CONcoo
lexicale	315	319	Cliges_A	Cliges_P	molt	mout	ADVgen	gens	gent1	NOMcom
lexicale	315	319	Cliges_A	Cliges_P	pleisoient	plaire	VERcjg	voient	vëoir	VERcjg
pos_diff	317	321	Cliges_A	Cliges_P	Tuit	tot	PROind	Tot	tot	ADVgen
lexicale	317	321	Cliges_A	Cliges_P	contes	conte1	NOMcom	rois	roi2	NOMcom
lexicale	317	321	Cliges_A	Cliges_P	et	et	CONcoo	u	o3	CONcoo
lexicale	317	321	Cliges_A	Cliges_P	roi	roi2	NOMcom	conte	conte1	NOMcom
lexicale	319	323	Cliges_A	Cliges_P	Molt	mout	ADVgen	Et	et	CONcoo
lexicale	319	323	Cliges_A	Cliges_P	par	par	ADVgen	molt	mout	ADVgen
pos_diff	319	323	Cliges_A	Cliges_P	sont	estre1	NOMcom	erent	estre1	VERcjg
lacune	319	323	Cliges_A	Cliges_P	bel	bel1	ADJqua			
lexicale	319	323	Cliges_A	Cliges_P	lor	lor2	DETpos	bel	bel1	ADJqua
lexicale	320	324	Cliges_A	Cliges_P	lonc	lonc	ADJqua	lor	lor2	DETpos
lexicale	321	325	Cliges_A	Cliges_P	robes	robe	NOMcom	reubes	roiaume	NOMcom
lexicale	321	325	Cliges_A	Cliges_P	vestoient	vestir	VERcjg	avoient	avoir	VERcjg
ajout	325	329	Cliges_A	Cliges_P				tant	tant	ADVgen
lacune	325	329	Cliges_A	Cliges_P	tant	tant	ADVgen			
ajout	326	330	Cliges_A	Cliges_P				ainc	ainc	ADVgen
lexicale	327	331	Cliges_A	Cliges_P	desroi	desroi	NOMcom	deroi	derompre	NOMcom
lexicale	328	332	Cliges_A	Cliges_P	Desfublez	desfubler	NOMpro	Desfules	desafubler	VERppe
lexicale	329	333	Cliges_A	Cliges_P	Que	que4	CONsub	Et	et	CONcoo
lexicale	329	333	Cliges_A	Cliges_P	molt	mout	ADVgen	fu	estre1	VERcjg
lexicale	329	333	Cliges_A	Cliges_P	fu	estre1	VERcjg	molt	mout	ADVgen
lexicale	331	335	Cliges_A	Cliges_P	par	par	PRE	por	por2	PRE
lexicale	331	335	Cliges_A	Cliges_P	amor	amor	NOMcom	honor	onor	NOMcom
lexicale	332	336	Cliges_A	Cliges_P	lez	lez	DETdef	les	le	DETdef
vers_absent	333		Cliges_A	Cliges_P						
ajout	334	337	Cliges_A	Cliges_P				Alixandres	alixandre	NOMpro
ajout	334	337	Cliges_A	Cliges_P				le	le	DETdef
ajout	334	337	Cliges_A	Cliges_P				roi	roi2	NOMcom
ajout	334	337	Cliges_A	Cliges_P				salue	salüer	VERppe
lexicale	334	337	Cliges_A	Cliges_P	leingue	lignage	NOMcom	langue	langue1	NOMcom
lexicale	334	337	Cliges_A	Cliges_P	esmolue	esmolir	VERppe	esmolue	esmoudre	VERppe
lacune	335	338	Cliges_A	Cliges_P	A	a3	PRE			
lacune	335	338	Cliges_A	Cliges_P	bien	bien1	ADVgen			
pos_diff	336	339	Cliges_A	Cliges_P	fet	faire	VERcjg	fait	faire	VERppe
lacune	336	339	Cliges_A	Cliges_P	se	se	CONsub			
lexicale	336	339	Cliges_A	Cliges_P	mant	mander	VERcjg	demant	demander	NOMcom
pos_diff	337	340	Cliges_A	Cliges_P	Renomee	renomee	NOMpro	Renomee	renomee	NOMcom
ajout	337	340	Cliges_A	Cliges_P				est	estre1	VERcjg
lexicale	339	342	Cliges_A	Cliges_P	Ne	ne2	ADVneg	Ne	ne1	ADVneg
lacune	340	343	Cliges_A	Cliges_P	Rois	roi2	NOMcom			
ajout	340	343	Cliges_A	Cliges_P				sa	son4	DETpos
lexicale	341	344	Cliges_A	Cliges_P	vos	vostre	PROper	vos	vos	PROper
lacune	343	346	Cliges_A	Cliges_P	vos	vos	PROper			
ajout	343	346	Cliges_A	Cliges_P				por	por2	PRE
lacune	344	347	Cliges_A	Cliges_P	s'	se	PROper			
lexicale	344	347	Cliges_A	Cliges_P	i	i2	PROadv	si	si	ADVgen
ajout	348	351	Cliges_A	Cliges_P				jou	je	PROper
lexicale	348	351	Cliges_A	Cliges_P	de	de	PRE	par	par	PRE
lexicale	348	351	Cliges_A	Cliges_P	la	le	DETdef	vos	vos	PROper
lexicale	348	351	Cliges_A	Cliges_P	vostre	vostre	PROpos	ne	ne1	ADVneg
lexicale	348	351	Cliges_A	Cliges_P	nel	ne1+il	ADVneg.PROper	le	il	PROper
lacune	350	353	Cliges_A	Cliges_P	vos	vos	PROper			
lacune	350	353	Cliges_A	Cliges_P	tant	tant	ADVgen			
ajout	350	353	Cliges_A	Cliges_P				tant	tant	ADVgen
lexicale	350	353	Cliges_A	Cliges_P	amez	amer1	VERcjg	ames	ame	NOMcom
lexicale	357	360	Cliges_A	Cliges_P	veignant	veintre	VERppa	vegnant	venir	ADJqua
pos_diff	358	361	Cliges_A	Cliges_P	Car	car	ADVgen	Car	car	CONcoo
pos_diff	358	361	Cliges_A	Cliges_P	sanblez	sembler	VERppe	sanles	sembler	VERcjg
lexicale	359	362	Cliges_A	Cliges_P	de	de	PRE	a	a3	PRE
lexicale	361	364	Cliges_A	Cliges_P	est	estre1	VERcjg	ist	issir	VERcjg
ajout	362	365	Cliges_A	Cliges_P				ma	mon1	DETpos
lexicale	363	366	Cliges_A	Cliges_P	comant	comander	ADVint	comment	coment1	ADVint
lacune	372	375	Cliges_A	Cliges_P	l'	le	DETdef			
lexicale	372	375	Cliges_A	Cliges_P	en	en2	PROind	on	on	PROind
lexicale	373	376	Cliges_A	Cliges_P	vaslet	vaslet	NOMcom	vassal	vassal	NOMcom
lexicale	376	379	Cliges_A	Cliges_P	des	des2	PRE	des	de+le	PRE
lexicale	377	380	Cliges_A	Cliges_P	mes	mon1	DETpos	moi	je	PROper
lexicale	378	381	Cliges_A	Cliges_P	Qu'	que4	PROrel	K	qui	CONcoo
lexicale	378	381	Cliges_A	Cliges_P	a	a3	PRE	a	avoir	PRE
pos_diff	378	381	Cliges_A	Cliges_P	arivez	ariver1	VERppe	arives	ariver1	ADVgen
